概念,内容,活動,説明
成長（growth）,既存モデルの洗練・磨き上げによる量的拡大,改善（improvement）,モデルをより効果的・効率的に運用し、生産性を向上
発展（development）,新規モデルへの不連続的移行,革新（innovation）,新規性・進歩性に富むモデルを創出し、それを普及・定着させる
